date,title,url,year,language,stock_code,company_name
2025-05-20,電子提供措置事項記載書面のうち交付書面に記載しない事項,https://www2.jpx.co.jp/disc/28020/140120250516556607.pdf,2025,Japanese,28020,味の素
2025-05-20,第147回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/28020/140120250516556605.pdf,2025,Japanese,28020,味の素
2024-05-29,Notice of Convocation of the 146th Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/28020/140120240528510352.pdf,2024,Japanese,28020,味の素
2024-05-28,(訂正版)第146回定時株主総会交付書面,https://www2.jpx.co.jp/disc/28020/140120240527508797.pdf,2024,Japanese,28020,味の素
2024-05-28,(訂正版)第146回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/28020/140120240527508796.pdf,2024,Japanese,28020,味の素
2024-05-28,「第146回定時株主総会交付書面」の一部修正について,https://www2.jpx.co.jp/disc/28020/140120240527508798.pdf,2024,Japanese,28020,味の素
2024-05-28,「第146回定時株主総会招集ご通知」の一部修正について,https://www2.jpx.co.jp/disc/28020/140120240527508799.pdf,2024,Japanese,28020,味の素
2024-05-22,第146回定時株主総会交付書面,https://www2.jpx.co.jp/disc/28020/140120240520501931.pdf,2024,Japanese,28020,味の素
2024-05-22,第146回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/28020/140120240520501930.pdf,2024,Japanese,28020,味の素
2024-05-22,第146回定時株主総会 電子提供事項記載書面のうち交付書面に記載しない事項,https://www2.jpx.co.jp/disc/28020/140120240520501932.pdf,2024,Japanese,28020,味の素
2023-06-01,（訂正版）第145回定時株主総会交付書面,https://www2.jpx.co.jp/disc/28020/140120230531590211.pdf,2023,Japanese,28020,味の素
2023-06-01,（訂正版）第145回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/28020/140120230531590210.pdf,2023,Japanese,28020,味の素
2023-06-01,「第145回定時株主総会交付書面」の一部修正について,https://www2.jpx.co.jp/disc/28020/140120230531590213.pdf,2023,Japanese,28020,味の素
2023-06-01,「第145回定時株主総会招集ご通知」の一部修正について,https://www2.jpx.co.jp/disc/28020/140120230531590212.pdf,2023,Japanese,28020,味の素
2023-05-31,Notice of convocation of the 145th ordinary general meeting of shareholders,https://www2.jpx.co.jp/disc/28020/140120230530587530.pdf,2023,Japanese,28020,味の素
2023-05-24,電子提供措置事項記載書面のうち交付書面に記載しない事項,https://www2.jpx.co.jp/disc/28020/140120230522578677.pdf,2023,Japanese,28020,味の素
2023-05-24,第145回定時株主総会交付書面,https://www2.jpx.co.jp/disc/28020/140120230522578676.pdf,2023,Japanese,28020,味の素
2023-05-24,第145回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/28020/140120230522578675.pdf,2023,Japanese,28020,味の素
2022-06-21,(Revised)Notice of Convocation of The 144th Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/28020/140120220620583108.pdf,2022,Japanese,28020,味の素
2022-06-21,Partial Correction of Notice of Convocation of The 144th Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/28020/140120220620583109.pdf,2022,Japanese,28020,味の素
2022-06-21,（訂正版）第144回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/28020/140120220620583106.pdf,2022,Japanese,28020,味の素
2022-06-21,「第144回定時株主総会招集ご通知」の一部修正について,https://www2.jpx.co.jp/disc/28020/140120220620583107.pdf,2022,Japanese,28020,味の素
2022-05-31,Notice of Convocation of The 144th Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/28020/140120220530563588.pdf,2022,Japanese,28020,味の素
